id,名,domain,range,is_transitive,is_symmetric,is_functional,inverseof,inversefunctional,sameas,subpropertyof,关系/属性
56,电视剧结局,A01,事件,0,0,1,None,1,None,None,属性
57,国籍,A01,国家,0,0,1,None,0,,None,属性
58,居所,A01,A08,0,0,0,None,0,,None,属性
59,追封,A01,名称,0,0,1,None,1,None,None,属性
60,小说门派,A01,组织,0,0,0,None,0,门派,None,属性
61,军衔,A01,军衔,0,0,0,None,0,军职,None,属性
62,民族,A01,民族,0,0,1,None,0,,None,属性
63,侄媳兼义侄女,A01,A03,0,0,1,None,1,None,None,属性
64,世兄,A01,A02,0,0,0,None,0,None,None,关系
65,六哥,A01,A02,0,0,1,None,0,None,None,关系
66,亲属,A01,A01,0,1,0,亲属,0,None,None,关系
67,所处时代,A01,朝代,0,0,0,None,0,朝代,None,属性
68,八哥,A01,A02,0,0,1,None,0,None,None,关系
69,地位,A01,地位,0,0,1,None,1,小说地位,None,属性
70,宠物,A01,动物,0,0,0,None,1,None,None,属性
71,容貌,A01,外貌,0,0,0,None,0,,None,属性
72,四哥,A01,A02,0,0,1,None,0,None,None,关系
73,轻功,A01,A13,0,0,0,None,0,None,None,属性
74,角色属性,A01,属性,0,0,1,None,0,None,None,属性
75,血统,A01,血统,0,0,1,None,0,None,None,属性
76,师傅,A01,A01,0,0,0,徒弟,0,,None,关系
77,体重,A01,重量,0,0,1,None,0,None,None,属性
78,出自,A01,作品,0,0,1,None,0,,None,属性
79,人物出处,A01,作品,0,0,1,None,0,出自,None,属性
80,前妻,A01,A03,0,0,0,前夫,0,None,None,关系
81,招数,A01,A13,0,0,0,None,0,None,None,属性
82,外貌特点,A01,外貌,0,0,0,None,0,容貌,None,属性
83,义弟,A01,A02,0,0,0,None,0,None,None,关系
84,官职,A01,职位,0,0,0,None,0,None,None,属性
85,结义兄弟,A02,A02,0,1,0,结义兄弟,0,结拜兄弟,None,关系
86,总舵主,A01,A01,0,0,0,None,0,None,None,关系
87,其他名称,A01,名称,0,0,0,None,0,None,None,属性
88,擅长,A01,特长,0,0,0,None,0,None,None,属性
89,九哥,A01,A02,0,0,1,None,0,None,None,关系
90,七弟,A01,A02,0,0,1,None,0,None,None,关系
91,封爵,A01,爵位,0,0,1,None,0,封爵,None,属性
92,执念,A01,,,,,None,,None,None,属性
93,参加革命时间,A01,时间,0,0,1,None,0,None,None,属性
94,不服之人,A01,A01,0,0,0,None,0,None,None,关系
95,义兄,A01,A02,0,0,0,None,0,None,None,关系
96,恋人,A01,A01,0,1,0,恋人,0,None,None,关系
97,前夫,A01,A02,0,0,0,前妻,0,,None,关系
98,字,A01,名称,0,0,1,None,0,None,None,属性
99,表姐,A01,A03,0,0,0,None,0,None,None,关系
100,孙女,A01,A03,0,0,0,None,0,None,None,关系
101,出生时间,A01,时间,0,0,1,None,0,None,None,属性
102,字号,A01,名称,0,0,1,None,0,None,None,属性
103,师祖,A01,A01,0,0,0,None,0,None,None,关系
104,曾用兵器,A01,A05,0,0,0,None,0,None,使用兵器,属性
105,伯父,A01,A02,0,0,0,None,0,None,None,关系
106,出场章回,A01,章回,0,0,0,None,0,None,None,属性
107,逝世日期,A01,时间,0,0,1,None,0,,None,属性
108,儿媳妇,A01,A03,0,0,0,None,0,儿媳,None,关系
109,畏惧之人,A01,A01,0,0,0,None,0,None,None,关系
110,未婚妻/岳母,A02,A03,0,0,1,None,1,None,None,关系
111,教派,A01,组织,0,0,0,None,0,None,None,属性
112,逝世地,A01,A08,0,0,1,None,0,None,None,属性
113,祖师,A01,A01,0,0,0,None,0,None,None,关系
114,曾受重伤,A02,事件,0,0,0,None,0,None,None,属性
115,仆人,A01,A01,0,0,0,None,0,None,None,关系
116,孙子,A01,A02,0,0,0,None,0,None,None,关系
117,小说信仰,A01,宗教,0,0,1,None,0,信仰,None,属性
118,义侄,A01,A02,0,0,0,None,0,None,None,关系
119,出场作品,A01,作品,0,0,0,None,0,,None,属性
120,姐弟,A01,A01,0,1,0,None,0,None,None,关系
121,大师兄,A01,A02,0,0,1,None,0,None,None,关系
122,出嫁地点,A03,A08,0,0,1,None,0,None,None,属性
123,十二弟,A01,A02,0,0,1,None,0,None,None,关系
124,剑法,A01,A13,0,0,0,None,0,None,None,属性
125,暗器,A01,A05,0,0,0,None,0,None,None,属性
126,出处,A01,作品,0,0,1,None,0,出自,None,属性
127,书中结局,A01,事件,0,0,1,None,1,None,None,属性
128,手下败将,A01,A01,0,0,0,None,0,None,None,关系
129,相关事件,A01,事件,0,0,0,None,1,None,None,属性
130,封号,A01,名称,0,0,0,None,0,None,None,属性
131,享年,A01,年龄,0,0,1,None,0,None,None,属性
132,七哥,A01,A02,0,0,1,None,0,None,None,属性
133,特长,A01,事件,0,0,0,None,0,强项,None,属性
134,秘籍,A01,A13,0,0,0,None,0,None,None,属性
135,敌人,A01,A01,0,0,0,敌人,0,None,None,关系
136,养女,A01,A03,0,0,0,None,0,None,None,关系
137,曾属门派,A01,组织,0,0,0,None,0,None,None,属性
138,亲家,A01,A01,0,1,0,亲家,0,None,None,关系
139,登场回目,A01,章回,0,0,1,None,0,出场章回,None,属性
140,仰慕者,A01,A01,0,0,0,None,0,爱慕者,None,关系
141,出场地,A01,A08,0,0,1,None,0,,None,属性
142,弟妹,A01,A03,0,0,0,None,0,None,None,关系
143,口头禅,A01,语句,0,0,1,None,1,None,None,属性
144,四弟,A01,A02,0,0,1,None,0,None,None,关系
145,同母兄弟,A02,A02,0,1,0,同母兄弟,0,None,None,关系
146,信物,A01,物品,0,0,0,None,0,None,None,属性
147,外甥,A01,A02,0,0,0,None,0,None,None,关系
148,老师,A01,A01,0,0,0,None,0,None,None,关系
149,意中人,A01,A01,0,0,0,None,0,心上人,None,关系
150,登场作品,A01,作品,0,0,0,None,0,出场作品,None,属性
151,表妹,A01,A03,0,0,0,None,0,None,None,关系
152,忘年交,A01,A01,0,1,0,忘年交,0,None,None,关系
153,居處,A01,A08,0,0,0,None,0,居所,None,属性
154,武功写照,A01,A13,0,0,0,None,0,None,None,属性
155,国别,A01,国家,0,0,1,None,0,国籍,None,属性
156,生父,A01,A02,0,0,1,None,0,None,None,关系
157,曾祖父,A01,A02,0,0,1,None,0,None,None,关系
158,书童,A01,A01,0,0,0,None,0,None,None,关系
159,青梅竹马,A01,A01,0,0,0,None,0,None,None,关系
160,原著作者,A06,A01,0,0,0,None,0,作者,None,属性
161,公公,A01,A02,0,0,1,None,0,None,None,关系
162,角色关系,A01,关系,0,0,0,None,1,None,None,关系
163,仇人,A01,A01,0,0,0,None,0,None,None,关系
164,哥哥,A01,A02,0,0,0,None,0,兄长,None,关系
165,殉身之处,A01,A08,0,0,1,None,0,逝世地,None,属性
166,出生日期,A01,时间,0,0,1,None,0,出生时间,None,属性
167,好友,A01,A01,0,1,0,None,0,None,None,关系
168,教主,A01,A01,0,0,1,None,0,None,None,关系
169,情人,A01,A01,0,1,0,None,0,None,None,关系
170,年龄,A01,年龄,0,0,0,None,0,None,None,属性
171,祖辈,A01,A01,0,0,0,None,0,祖先,None,关系
172,职业,A01,职位,0,0,0,None,0,,None,属性
173,武功绝学,A01,A13,0,0,0,None,0,武功,None,属性
174,师妹/情敌,A03,A04,0,0,0,None,0,None,None,关系
175,年号,A01,名称,0,0,0,None,0,None,None,属性
176,荣誉称号,A01,名称,0,0,0,None,1,None,None,属性
177,武功,A01,A13,0,0,0,None,0,,None,属性
178,著作,A01,作品,0,0,0,None,1,代表作品,None,属性
179,旗籍,A02,,,,,None,,None,None,属性
180,小说前夫,A01,A02,0,0,0,None,0,前夫,None,关系
181,才华,A01,特长,0,0,0,None,0,None,None,属性
182,代表之花,A01,植物,0,0,1,None,0,None,None,属性
183,养父,A01,A02,0,0,1,None,0,None,None,关系
184,尊敬的人,A01,A01,0,0,0,None,0,None,None,关系
185,语种,A01,语言,,,,None,,None,None,属性
186,姐姐,A01,A03,0,0,0,None,0,None,None,关系
187,政权,A01,国家,0,0,1,None,0,None,None,属性
188,参与战役,A01,战役,0,0,0,None,0,None,None,属性
189,主上,A01,A01,0,0,0,None,0,主人,None,关系
190,嫂子,A01,A03,0,0,0,None,0,None,None,关系
191,祖籍,A01,A08,0,0,1,None,0,None,None,属性
192,情敌,A01,A01,0,1,0,情敌,0,None,None,关系
193,姓氏,A01,名称,0,0,1,None,0,None,None,属性
194,武功家数,A01,组织,0,0,0,None,0,None,None,属性
195,爱人,A01,A01,0,1,0,None,0,None,None,关系
196,师弟/恋人,A03,A02,0,0,0,None,0,None,None,关系
197,所处朝代,A01,朝代,0,0,1,None,0,朝代 ,None,属性
198,小说父亲,A01,A02,0,0,1,None,0,父亲,None,关系
199,师叔,A01,A01,0,0,0,None,0,None,None,关系
200,个性,A01,特点,0,0,1,None,0,性格,None,属性
201,内功,A01,A13,0,0,0,None,0,None,None,属性
202,所习武功,A01,A13,0,0,0,修习者,0,武功,None,属性
203,孙媳妇,A01,A03,0,0,0,None,0,None,None,关系
204,小说兄长,A01,A02,0,0,0,None,0,兄长,None,关系
205,身份,A01,身份,0,0,0,None,0,None,None,属性
206,后代传人,A01,A01,0,0,0,None,0,传人,None,关系
207,已知武功,A01,A01,0,0,0,None,0,None,武功,属性
208,堂弟,A01,A01,0,0,0,None,0,None,None,关系
209,九弟,A01,A02,0,0,1,None,0,None,弟弟,关系
210,祖师婆婆,A01,A03,0,0,0,None,0,None,None,关系
211,职务,A01,职位,0,0,0,None,0,,None,属性
212,小说地位,A01,地位,0,0,1,None,0,,None,属性
213,弟弟,A01,A02,0,0,0,None,0,None,None,关系
214,全称,A01,名称,0,0,1,None,1,None,None,属性
215,爵位,A01,爵位,0,0,1,None,0,封爵,None,属性
216,师承,A01,A01,0,0,0,None,0,None,None,关系
217,生辰,A01,时间,0,0,1,None,0,None,None,属性
218,法号,A01,名称,0,0,1,None,1,None,None,属性
219,性格,A01,特点,0,0,1,None,0,,None,属性
220,第一次登场,A01,章回,0,0,1,None,0,None,None,属性
221,葬身之地,A01,A08,0,0,1,埋葬,0,逝世地,None,属性
222,师妹,A01,A03,0,0,0,None,0,None,None,关系
223,所属组织,A01,组织,0,0,0,成员,0,所属,None,属性
224,同门,A01,A01,1,1,0,同门,0,None,None,关系
225,拥有地产,A01,A08,0,0,0,归属于,1,None,None,属性
226,效力于,A01,A01,0,0,0,None,0,None,None,关系
227,侄孙媳,A01,A03,0,0,0,None,0,None,None,关系
228,师叔,A01,A01,0,0,0,None,0,None,None,关系
229,逝地,A01,A08,0,0,1,埋葬,,逝世地,None,属性
230,红颜,A01,A03,0,0,0,None,0,None,None,关系
231,相关庙宇,A01,A08,0,0,0,供奉,0,None,None,属性
232,妹夫,A01,A02,0,0,0,None,0,None,None,关系
233,父母,A01,A01,0,0,0,子女,0,None,家人,关系
234,所属,A01,组织,0,0,0,成员,0,,None,属性
235,八弟,A01,A02,0,0,1,None,0,None,None,关系
236,侄孙,A01,A02,0,0,0,None,0,None,None,关系
237,主要武功,A01,A13,0,0,0,修习者,0,None,武功,属性
238,子,A01,A02,0,0,0,None,0,None,家人,关系
239,同族兄弟,A02,A02,1,1,0,同族兄弟,0,None,兄弟,关系
240,方丈,A02,A02,0,0,1,None,0,None,None,关系
241,同母姐妹,A03,A03,1,1,0,同母姐妹,0,None,姐妹,关系
242,祖母,A01,A03,0,0,1,None,0,None,None,关系
243,作者,A06,A01,0,0,1,None,0,,None,属性
244,在位时间,A01,时间,0,0,1,None,0,None,None,属性
245,旧版儿媳,A01,A03,0,0,0,None,0,儿媳,家人,关系
246,本名,A01,名称,0,0,1,None,0,None,None,属性
247,相貌,A01,外貌,0,0,0,None,0,容貌,None,关系
248,特点,A01,特点,0,0,1,None,0,,None,属性
249,救命恩人,A01,A01,0,0,0,None,0,None,恩人,关系
250,外甥女,A01,A03,0,0,0,None,0,None,None,关系
251,兄弟,A02,A02,0,1,0,兄弟,0,None,None,关系
252,长辈,A01,A01,1,0,0,晚辈,0,None,None,关系
253,师公,A01,A02,0,0,0,None,0,None,None,关系
254,帮派,A01,组织,0,0,0,成员,0,帮会,None,属性
255,称号,A01,名称,0,0,0,None,0,,None,属性
256,劲敌,A01,A01,0,1,0,劲敌,0,None,None,关系
257,王号,A01,名称,0,0,0,None,0,None,None,属性
258,传人,A01,A01,0,0,0,None,0,,None,关系
259,妹妹,A01,A03,1,0,0,None,0,胞妹,家人,关系
260,法名,A01,名称,0,0,1,None,0,None,None,属性
261,十三弟,A01,A02,0,0,0,None,0,None,None,关系
262,十弟,A01,A02,0,0,0,None,0,None,None,关系
263,小说原型,A01,A01,0,0,1,None,0,None,None,属性
264,初登场,A01,A08,0,0,1,None,0,None,None,属性
265,丈夫,A03,A02,0,0,0,夫人,0,,None,关系
266,亲家母,A01,A03,0,0,0,None,0,None,None,关系
267,职称,A01,职位,0,0,0,None,0,None,None,属性
268,成就,A01,事件,0,0,0,实现人,0,None,None,属性
269,派系,A01,组织,0,0,0,成员,0,派别,None,属性
270,陵墓,A01,A08,0,0,1,None,1,陵寝,葬身之地,属性
271,胞妹,A01,A03,1,0,0,None,0,妹妹,家人,关系
272,丫鬟,A01,A03,0,0,0,None,1,None,None,关系
273,专长,A01,事件,0,0,0,None,0,强项,None,属性
274,所属门派,A01,组织,0,0,0,成员,0,門派,None,属性
275,棋友,A01,A01,0,1,0,棋友,0,None,None,关系
276,中文名,A01,名称,0,0,1,None,0,None,None,属性
277,师姐,A01,A03,1,0,0,None,0,None,None,关系
278,家人,A01,A01,1,1,0,家人,0,None,None,关系
279,外貌特征,A01,外貌,0,0,0,None,0,容貌,None,属性
280,妻弟,A02,A02,0,0,0,姐夫,0,None,None,关系
281,主要成就,A01,事件,0,0,0,实现人,0,成就,None,属性
282,父亲,A01,A02,0,0,1,None,0,None,家人,关系
283,师兄弟,A02,A02,1,1,0,师兄弟,0,None,None,关系
284,所处时期,A01,朝代,0,0,1,None,0,朝代,None,属性
285,名号,A01,名称,0,0,0,None,0,None,None,属性
286,尊号,A01,名称,0,0,0,None,0,None,None,属性
287,未婚妻,A02,A03,0,0,1,未婚夫,1,None,None,关系
288,人物形象,A01,外貌,0,0,0,None,0,形象,None,属性
289,绝招,A01,A13,0,0,0,None,0,绝技,None,属性
290,义嫂,A01,A03,0,0,0,None,0,None,None,关系
291,相关记载,A02,A06,0,0,0,None,0,None,None,属性
292,绝技,A01,A13,0,0,0,None,0,绝招,None,属性
293,喜好,A01,事件,0,0,0,None,0,爱好,None,属性
294,齐名者,A01,A01,0,1,0,齐名者,0,None,None,关系
295,尊主,A01,A01,0,0,1,None,0,None,主人,关系
296,十五弟,A01,A02,0,0,0,None,0,None,None,关系
297,至交,A01,A01,0,1,0,至交,0,None,None,关系
298,师侄,A01,A01,0,0,0,None,0,None,None,关系
299,外公,A01,A02,0,0,1,None,0,None,None,关系
300,籍贯,A01,A08,0,0,1,None,0,None,None,属性
301,师娘,A01,A03,0,0,0,None,0,None,None,关系
302,退场时间,A01,时间,0,0,1,None,0,None,None,属性
303,小说武功,A01,A13,0,0,0,None,0,武功,None,属性
304,妻子,A02,A03,0,0,0,丈夫,0,夫人,家人,关系
305,退场原因,A01,事件,0,0,1,None,0,None,None,属性
306,传承兵法,A01,作品,0,0,0,None,0,None,None,属性
307,号,A01,名称,0,0,0,None,0,称号,None,属性
308,学生,A01,A01,0,0,0,None,0,None,None,关系
309,属于,A01,组织,0,0,0,成员,0,所属,None,属性
310,事迹,A01,事件,0,0,0,None,0,None,None,属性
311,所属作品,A01,作品,0,0,0,None,0,出场作品,None,属性
312,武功绝技,A01,A13,0,0,0,None,0,武功,None,属性
313,夫妻关系,A02,A36,0,0,0,None,0,None,None,属性
314,身高,A01,数字,0,0,1,None,0,None,None,属性
315,身材,A01,外貌,0,0,0,None,0,None,None,属性
316,出场时间,A01,时间,0,0,1,None,0,None,None,属性
317,家族,A01,A35,0,0,1,成员,0,None,None,属性
318,大舅哥,A02,A02,0,0,0,None,0,None,None,关系
319,出场目次,A01,时间,0,0,0,None,0,出场目次,None,属性
320,恩人,A01,A01,0,0,0,None,0,,None,关系
321,姐妹,A03,A03,1,1,0,姐妹,0,姊妹,家人,关系
322,六弟,A01,A02,0,0,0,None,0,None,None,关系
323,十四弟,A01,A02,0,0,0,None,0,None,None,关系
324,外孙女,A01,A03,0,0,0,None,0,None,None,关系
325,儿子,A01,A02,0,0,0,None,0,子,家人,关系
326,使用武器,A01,A05,0,0,0,None,0,兵器,None,属性
327,喜欢的人,A01,A01,0,0,0,None,0,心上人,None,属性
328,出生地,A01,A08,0,0,1,None,0,None,None,属性
329,主要兵器,A01,A05,0,0,0,None,0,None,兵器,属性
330,姊妹,A03,A03,1,1,0,姊妹,0,姐妹,家人,关系
331,心上人,A01,A01,0,0,0,None,0,,None,关系
332,监国时间,A01,时间,0,0,1,None,0,None,None,属性
333,四嫂,A01,A03,0,0,0,None,0,None,None,关系
334,尊称,A01,名称,0,0,0,None,0,None,None,属性
335,师兄,A01,A02,0,0,0,None,0,None,None,关系
336,外形,A01,外貌,0,0,0,None,0,None,None,属性
337,人称,A01,名称,0,0,0,None,0,None,None,属性
338,上司,A01,A01,1,0,0,属下,0,,None,关系
339,情缘,A01,A01,0,1,0,情缘,0,None,None,关系
340,表弟,A01,A02,0,0,0,None,0,None,None,关系
341,老大,A01,A01,0,0,0,None,0,None,None,关系
342,外孙,A01,A02,0,0,0,None,0,None,None,关系
343,二哥,A01,A02,0,0,0,None,0,None,None,关系
344,舅舅,A01,A02,0,0,0,None,0,None,None,关系
345,母亲,A01,A03,0,0,1,None,0,None,家人,关系
346,帮会,A01,组织,0,0,0,成员,0,帮派,None,属性
347,乐器,A01,物品,0,0,0,None,0,None,None,属性
348,组织,A01,组织,0,0,0,成员,0,帮派,None,属性
349,职位,A01,职位,0,0,0,None,0,职务,None,属性
350,祖传剑谱,A01,A13,0,0,0,None,0,None,None,属性
351,派别,A01,组织,0,0,0,成员,0,,None,属性
352,愿望,A01,事件,0,0,0,None,0,None,None,属性
353,久居地,A01,A08,0,0,0,None,0,None,None,属性
354,师父,A01,A01,0,0,0,弟子,0,师傅,None,关系
355,后代,A01,A01,1,0,0,祖先,0,,None,关系
356,岳父,A02,A02,0,0,1,None,1,None,None,关系
357,人物结局,A01,事件,0,0,1,None,0,结局,None,属性
358,掌门人,A01,A01,0,0,0,None,0,None,None,关系
359,亲传,A01,A01,0,0,0,None,0,None,弟子,关系
360,养子,A01,A02,0,0,0,None,0,None,None,关系
361,五哥,A01,A02,0,0,0,None,0,None,None,关系
362,毒药,A01,物品,0,0,0,None,0,None,None,属性
363,恩公,A01,A01,0,0,0,None,0,恩人,None,关系
364,弟子,A01,A01,0,0,0,师父,0,徒弟,None,关系
365,家臣,A01,A01,0,0,0,None,1,None,属下,关系
366,俗姓,A01,名称,0,0,1,None,0,None,None,属性
367,三哥,A01,A02,0,0,0,None,0,None,None,关系
368,表哥,A01,A02,0,0,0,None,0,None,None,关系
369,强项,A01,事件,0,0,0,None,0,,None,属性
370,兵器,A01,A05,0,0,0,None,0,,None,属性
371,弟妹,A01,A03,0,0,0,None,0,None,None,关系
372,汗号,A01,名称,0,0,1,None,0,None,None,属性
373,别名（绰号）,A01,名称,0,0,0,None,0,绰号,None,属性
374,时代,A01,朝代,0,0,1,None,0,朝代,None,属性
375,所处年代,A01,朝代,0,0,1,None,0,朝代,None,属性
376,大儿子,A01,A02,0,0,1,None,1,None,儿子,关系
377,兵刃,A01,A05,0,0,0,None,0,兵器,None,属性
378,义父,A01,A02,0,0,0,None,0,None,None,关系
379,侄女,A01,A03,0,0,0,None,0,None,None,关系
380,修习武功,A01,A13,0,0,0,修习者,0,武功,None,属性
381,主人,A01,A01,0,0,0,None,0,主公,None,关系
382,终结者,A01,A01,0,0,1,None,0,None,None,关系
383,登场地点,A01,A08,0,0,1,None,0,出场地,None,属性
384,人物设定,A01,A33,0,0,0,None,0,None,None,属性
385,首次出场时间,A01,时间,0,0,1,None,0,None,出场时间,属性
386,特技,A01,A28,0,0,0,None,0,绝技,None,属性
387,主子,A01,A01,0,0,0,None,0,主人,None,关系
388,义母,A01,A03,0,0,0,None,0,None,None,关系
389,笔名,A01,A16,0,0,0,None,1,None,None,属性
390,陵寝,A01,A08,0,0,1,None,1,陵墓,葬身之地,属性
391,属下,A01,A01,0,0,0,上司,0,None,None,关系
392,原作者,A06,A01,0,0,0,None,0,作者,None,关系
393,三宝,A01,物品,0,0,0,None,0,None,None,属性
394,王爵,A01,职位,0,0,0,None,0,None,爵位,属性
395,荣誉,A01,A16,0,0,0,None,0,None,None,属性
396,性情,A01,A36,0,0,0,None,0,None,None,属性
397,小说作者,A06,A01,0,0,0,None,0,作者,None,属性
398,旧情人,A01,A01,0,0,0,None,0,None,None,关系
399,名字由来,A01,A15,0,0,0,None,0,None,None,属性
400,夫人,A02,A03,0,0,0,丈夫,0,,家人,关系
401,爱慕,A01,A01,0,0,0,None,0,None,None,关系
402,绰号,A01,名称,0,0,0,None,0,别名（绰号）,None,属性
403,别名,A01,名称,0,0,0,None,0,None,None,属性
404,爱好,A01,事件,0,0,0,None,0,喜好,None,属性
405,领导,A01,A01,1,0,0,None,0,上司,None,关系
406,后人,A01,A01,1,0,0,祖先,0,后代,None,关系
407,生死之交,A01,A01,0,1,0,生死之交,0,None,None,关系
408,祖父,A01,A02,0,0,0,None,0,爷爷,None,关系
409,所创绝学,A01,A13,0,0,0,None,0,None,None,属性
410,祖先,A01,A01,1,0,0,后代,0,,None,关系
411,民族族群,A01,民族,0,0,1,None,0,民族,None,属性
412,追赠,A01,职位,0,0,0,None,0,None,None,属性
413,主要作品,A01,作品,0,0,0,None,1,None,代表作品,属性
414,结局,A01,事件,0,0,0,None,0,None,None,属性
415,出场回数,A01,数字,0,0,0,None,0,None,None,属性
416,义子,A01,A02,0,0,0,None,0,None,None,关系
417,谥号,A01,名称,0,0,1,None,0,None,None,属性
418,宿敌,A01,A01,0,1,0,宿敌,0,None,None,关系
419,才艺,A01,特长,0,0,0,None,0,None,None,属性
420,生日,A01,时间,0,0,1,None,0,生辰,None,属性
421,不睦之人,A01,A01,0,1,0,不睦之人,0,None,None,关系
422,先祖,A01,A01,1,0,0,后代,0,祖先,None,关系
423,经典场面,A01,A15,0,0,0,None,0,None,None,属性
424,人物性格,A01,A36,0,0,0,None,0,性格,None,属性
425,师兄妹,A01,A01,0,1,0,师兄妹,0,None,None,关系
426,义女,A01,A03,0,0,0,None,0,None,None,关系
427,外貌,A01,外貌,0,0,0,None,0,容貌,None,属性
428,隶属,A01,组织,0,0,0,成员,0,所属,None,属性
429,小说职业,A01,职位,0,0,0,None,0,职业,None,属性
430,居住地,A01,A08,0,0,0,None,0,居所,None,属性
431,主公,A01,A01,0,0,0,None,0,主人,None,关系
432,姓名,A01,名称,0,0,1,None,0,None,None,属性
433,去世时间,A01,时间,0,0,1,None,0,逝世日期,None,属性
434,宝物,A01,物品,0,0,0,None,0,None,None,属性
435,門派,A01,组织,0,0,0,None,0,门派,None,属性
436,门派,A01,组织,0,0,0,成员,0,所属门派,None,属性
437,爱侣,A01,A01,0,1,0,爱侣,0,配偶,None,关系
438,出生年份,A01,时间,0,0,1,None,0,None,None,属性
439,武功门派,A01,组织,0,0,0,成员,0,门派,None,属性
440,人物关系,A01,关系,0,0,0,None,0,None,None,属性
441,师伯,A01,A01,0,0,0,None,0,None,None,关系
442,三伯,A01,A02,0,0,0,None,0,None,None,关系
443,埋葬,地点,人,0,0,0,葬身之地,0,None,None,属性
444,成员,组织,人,0,0,0,组织,0,None,None,属性
445,归属于,地点,人,0,0,1,拥有地产,0,None,None,属性
446,供奉,地点,人,0,0,0,拥有地产,0,None,None,属性
447,修习者,武功,人,0,0,0,武功,0,None,None,属性
448,晚辈,人,人,1,0,0,长辈,0,None,None,关系
449,实现人,事件,人,0,0,0,成就,0,None,None,属性
450,未婚夫,女人,男人,0,0,1,未婚妻,1,None,None,关系
